Name,Profit,Buy Price,Sell Price,Demand,Supply,Margin
"Sun God's Gift",4943,11800,19700,79,38,41.889830508475
"Berserker's Iron Greatsword of Perception",19866.05,65126,99993,668,30,30.504022970856
"Berserker's Iron Greatsword of Serpent Slaying",5507.1,29159,40786,183,86,18.886450152612
"Naga Fang",6738.35,30006,43231,214,64,22.4566753316
"Rampager's Iron Greatsword of Debility",8561.45,25451,40017,126,26,33.638953282779
"Kymswarden",3525.35,31400,41091,318,94,11.227229299363
"Cleric's Iron Greatsword of Rage",11323.25,32029,51005,170,38,35.353117487277
"Cleric's Iron Greatsword of Perception",29229.4,30204,69924,59,16,96.773275062906
"Ebonblade",15225,51498,78500,266,35,29.564254922521
"Berserker's Iron Greatsword of Venom",16521,66522,97700,307,27,24.835392802381
"Rampager's Iron Greatsword of Energy",33178.5,61008,110810,59,6,54.38385129819
"Rampager's Iron Greatsword of Grawl Slaying",32701.45,18294,59997,31,10,178.75505630261
"Skybringer",5863,30600,42900,95,71,19.160130718954
"Cleric's Iron Greatsword of Blood",9597.3,22274,37498,107,59,43.087456226991
"Rampager's Iron Greatsword of Water",15495.15,18502,39999,106,28,83.748513674197
"Dhuumseal",5173.55,32601,44443,150,28,15.869298487776
"Berserker's Soft Wood Staff of Rage",43027,29221,85000,67,11,147.24684302385
"Berserker's Soft Wood Staff of Perception",19156.15,19125,45039,169,35,100.16287581699
"Rampager's Soft Wood Staff of Stamina",21526,20972,50000,79,6,102.64161739462
"Rampager's Soft Wood Staff of Ice",9455.15,15957,29899,115,14,59.253932443442
"Memory of the Sky",13141,27708,48060,202,24,47.426735960733
"Cleric's Soft Wood Staff of Smoldering",37071,13077,59000,44,9,283.48245010323
"Cleric's Soft Wood Staff of Corruption",9347.05,21279,36033,36,17,43.926171342638
"Berserker's Soft Wood Staff of Grawl Slaying",11666.15,25306,43499,137,14,46.10033193709
"Berserker's Soft Wood Staff of Peril",16353.15,23594,46999,64,8,69.310629821141
"Rampager's Soft Wood Staff of Chilling",22406.95,19145,48887,30,28,117.03813006007
"Rampager's Soft Wood Staff of Perception",22298.95,20273,50087,25,13,109.99334089676
"Emberspire",4998,37500,50000,163,64,13.328
"Cleric's Soft Wood Staff of Purity",25915,16583,50000,60,10,156.27449797986
"Imryldyeen",9172,65201,87500,208,25,14.067268906919
"Silence",6026.5,28201,40270,116,48,21.369809581221
"Honed Iron Greatsword of Blood",6514.65,9879,19289,312,65,65.944427573641
"Honed Iron Greatsword of Battle",2755.05,3425,7273,302,43,80.439416058394
"Berserker's Iron Greatsword of Restoration",4465.15,7857,14499,349,86,56.83021509482
"Berserker's Iron Greatsword of Air",2778,3000,6800,122,78,92.6
"Berserker's Iron Greatsword of Hobbling",2815,4833,9000,525,332,58.245396234223
"Rampager's Iron Greatsword of Blood",3191.15,3657,8059,211,33,87.261416461581
"Berserker's Iron Greatsword of Air",7410.7,9504,19902,176,43,77.974537037037
"Berserker's Iron Greatsword of Air",2067,4306,7500,643,638,48.002786809104
"Cleric's Iron Greatsword of Accuracy",4652.45,3843,9997,88,29,121.06297163674
"Berserker's Iron Hammer of Air",20452.4,10625,36564,57,17,192.49317647059
"Berserker's Iron Hammer of Fire",5582.15,30200,42099,149,55,18.483940397351
"Rampager's Iron Hammer of Perception",6551.15,11126,20799,47,13,58.88144885853
"Rampager's Iron Hammer of Purity",4744.15,10196,17579,49,37,46.529521380934
"Rampager's Iron Hammer of Ogre Slaying",10088.15,12009,25999,54,51,84.00491298193
"Magmaton",6445.15,33502,46999,271,74,19.23810518775
"Cleric's Iron Hammer of Corruption",14280.15,11217,29999,27,9,127.30810377106
"Berserker's Iron Hammer of Ogre Slaying",5115.15,20467,30099,22,16,24.992182537744
"Ironfist",3611,21207,29200,62,41,17.027396614325
"Rampager's Iron Hammer of Grawl Slaying",15197.1,11870,31846,24,9,128.02948609941
"Cleric's Iron Hammer of Stamina",8529,8044,19500,66,54,106.02933863749
"Remnant of Ascalon",6025,18198,28500,62,48,33.108033849874
"Rampager's Iron Hammer of Purity",5247,16001,25000,64,59,32.791700518718
"Honed Soft Wood Staff of Peril",3152.25,5588,10285,161,65,56.411059413028
"Rampager's Soft Wood Staff of Ogre Slaying",2461.6,1035,4116,150,27,237.83574879227
"Rampager's Soft Wood Staff of Accuracy",4831.3,3699,10038,237,42,130.61097593944
"Cleric's Soft Wood Staff of Force",3825.6,3479,8596,1596,123,109.9626329405
"Berserker's Soft Wood Staff of Water",2025.3,4686,7898,136,54,43.220230473752
"Cleric's Soft Wood Staff of Energy",3256.45,2604,6897,45,21,125.05568356375
"Cleric's Soft Wood Staff of Energy",2758,3615,7500,663,70,76.293222683264
"Berserker's Soft Wood Short Bow of Nullification",12041.6,7418,22896,121,32,162.32946885953
"Berserker's Soft Wood Short Bow of Perception",4940.75,11288,19095,98,45,43.769932671864
"Berserker's Soft Wood Short Bow of Chilling",17845.3,10541,33398,89,29,169.29418461247
"Éibhear Finn",15355.9,14302,34894,77,24,107.36889945462
"Rampager's Soft Wood Short Bow of Corruption",8195.45,10687,22217,73,12,76.686160756059
"Rampager's Soft Wood Short Bow of Rage",8282.15,8783,20079,76,24,94.297506546738
"Rampager's Soft Wood Short Bow of Water",23534.15,10208,39699,31,23,230.54614028213
"Bow of the Pale Stag",6301,61697,80000,311,19,10.212814237321
"Trosa's Short Bow",7271.8,20001,32088,64,62,36.357182140893
"Berserker's Soft Wood Short Bow of Stamina",3892.3,13019,19898,37,33,29.89707350795
"Eir's Short Bow",9914,25104,41200,189,38,39.491714467814
"Rampager's Soft Wood Short Bow of Stamina",7366.6,9628,19996,58,20,76.512255920233
"Rampager's Soft Wood Short Bow of Peril",6765.05,9836,19533,55,20,68.778466856446
"Droknar's Short Bow",10993,17718,33780,113,64,62.044248786545
"Cleric's Soft Wood Short Bow of Nullification",4011,8737,15000,46,23,45.908206478196
"Rampager's Soft Wood Short Bow of Perception",16496,11280,32680,124,46,146.24113475177
"Rampager's Iron Hammer of Bloodlust",5436.45,2957,9877,204,198,183.85018599932
"Cleric's Iron Hammer of Air",5520.9,2887,9894,52,15,191.23311395913
"Berserker's Iron Rifle of Perception",9004,10119,22500,50,21,88.981124617057
"Berserker's Iron Rifle of Bloodlust",16627.75,110101,149095,58,14,15.102269734153
"Rampager's Iron Rifle of Rage",4818.25,10042,17485,70,49,47.980979884485
"Axiquiotl",2792,14206,20000,340,69,19.653667464452
"Cleric's Iron Rifle of Restoration",7704,7849,18300,33,14,98.152630908396
"Cleric's Iron Rifle of Agony",7899.9,9178,20094,58,17,86.074308128132
"Charrzooka",10474.6,50805,72096,295,99,20.617262080504
"Berserker's Iron Rifle of Corruption",14954.3,14316,34438,69,19,104.45864766695
"Azure Railgun",4847,14701,23000,142,44,32.970546221345
"Rampager's Iron Rifle of Chilling",6564.7,8293,17482,41,15,79.159532135536
"Rampager's Iron Rifle of Grawl Slaying",5627.6,10517,18996,24,13,53.509555957022
"Cleric's Iron Rifle of Fire",7676.4,31000,45504,115,21,24.762580645161
"Spectral Wave Modulator",2688,14905,20700,83,65,18.034216705803
"Rampager's Iron Rifle of Ogre Slaying",6558.45,10012,19497,51,30,65.505892928486
"Sarraceinaceae",4200,12798,20000,52,25,32.817627754337
"Berserker's Steam Speargun of Earth",8728.45,8182,19897,23,15,106.67868491811
"Berserker's Steam Speargun of Leeching",8182.75,9916,21295,88,38,82.520673658733
"Rampager's Steam Speargun of Rage",6277.45,7828,16597,28,20,80.192258559019
"Rampager's Steam Speargun of the Hydromancer",5356.05,9086,16993,79,30,58.948382126348
"Rampager's Steam Speargun of Water",7251.65,9567,19789,60,12,75.798578446744
"Cleric's Steam Speargun of Purity",9470,7528,20000,28,11,125.79702444208
"Cleric's Steam Speargun of Stamina",8240.4,8659,19884,28,9,95.165723524656
"Drakestrike",3711.15,13201,19899,108,59,28.112642981592
"Flamebelcher",2773.25,23001,30325,89,30,12.057084474588
"Rampager's Steam Speargun of Ice",7967.65,7661,18389,33,16,104.00274115651
"Rampager's Steam Speargun of Corruption",9746.15,11501,24999,50,10,84.741761585949
"The Stingray",31861.45,87134,139997,164,54,36.566036220075
"Cleric's Steam Speargun of Earth",7219.1,8764,18806,97,30,82.372204472843
"Rampager's Steam Speargun of Fire",14044,25054,46000,150,33,56.054921369841
"Blastmaster 3000",3200,13798,20000,113,58,23.191766922742
"Berserker's Soft Wood Longbow of Fire",17762.3,50319,80098,156,23,35.299389892486
"Berserker's Soft Wood Longbow of Life",6790,10208,20000,63,27,66.516457680251
"Rampager's Soft Wood Longbow of Nullification",7104.3,9892,19998,55,25,71.818641326324
"Bow of the White Hart",7689.45,18316,30597,214,55,41.982146756934
"Cleric's Soft Wood Longbow of Energy",66167.6,61327,149996,64,6,107.89309765682
"Berserker's Soft Wood Longbow of Accuracy",13259,33489,55000,115,40,39.592104870256
"Berserker's Soft Wood Longbow of Peril",62935.05,30370,109773,96,8,207.22769180112
"Eir's Longbow",20823.75,47000,79795,240,23,44.30585106383
"Rampager's Soft Wood Longbow of Ogre Slaying",15017.6,10052,29496,24,13,149.39912455233
"Rampager's Soft Wood Longbow of Corruption",16762.2,11568,33332,35,16,144.90145228216
"Droknar's Recurve Bow",3292.9,14550,20994,83,58,22.631615120275
"Cleric's Soft Wood Longbow of Nullification",7954.3,9518,20558,37,15,83.571128388317
"Ganadriva",4678.3,13253,21098,136,56,35.299932090847
"Berserker's Black Earth Trident of Ice",5740.15,9132,17499,72,45,62.857533946562
"Berserker's Black Earth Trident of Rage",8468.05,8014,19393,46,33,105.66571000749
"Rampager's Black Earth Trident of Intelligence",5309.2,8962,16792,37,34,59.241240794466
"Rampager's Black Earth Trident of Ogre Slaying",6659,9914,19500,34,11,67.167641718782
"Limitless Furnace",10123,10530,24300,55,34,96.134852801519
"Cleric's Black Earth Trident of Agony",8737.95,8759,20587,15,9,99.759675762073
"Berserker's Black Earth Trident of Ice",10168.5,4611,17390,36,15,220.52700065062
"Peasant's Solution",6641.3,16305,26998,68,30,40.731677399571
"Rampager's Black Earth Trident of Serpent Slaying",7207.3,8582,18578,27,11,83.981589373106
"Malachidean",13509.15,11903,29899,92,20,113.49365706125
"Cleric's Black Earth Trident of Agony",6930,8538,18200,84,24,81.166549543219
"Rampager's Black Earth Trident of the Geomancer",5554.5,9820,18090,29,26,56.563136456212
"SteamFire",14261.95,11242,30007,44,19,126.86310265077
"Berserker's Soft Wood Longbow of the Hydromancer",4355.3,4124,9978,169,53,105.60863239573
"Cleric's Soft Wood Longbow of Bloodlust",5804.8,2700,10008,44,16,214.99259259259
"Berserker's Iron Spear of Serpent Slaying",7357.1,7113,17026,34,13,103.43174469282
"Berserker's Iron Spear of Air",9795.7,5487,17982,66,41,178.52560597777
"Berserker's Iron Spear of Agony",6869.25,9776,19585,27,24,70.266468903437
"Dragonspine",6210,11638,21000,82,27,53.359683794466
"Rampager's Iron Spear of the Geomancer",6469,9951,19320,65,10,65.00854185509
"Spade of the Deep",4936.4,12813,20884,98,41,38.526496526965
"Cleric's Iron Spear of Force",9968.75,75025,99995,78,7,13.287237587471
"Berserker's Iron Spear of Blood",11318.15,9844,24899,57,22,114.97511174319
"Nitro",5261.8,13902,22548,76,33,37.849230326572
"Cleric's Iron Spear of Debility",8621.65,8367,19989,70,26,103.04350424286
"Rhongomyniad",7468,12505,23500,53,41,59.720111955218
"Rampager's Iron Spear of Smoldering",5764.7,9586,18062,89,45,60.136657625704
"Gungnir",5461.45,11534,19997,90,32,47.350875671926
"Berserker's Black Earth Trident of Water",2402.9,2690,5994,55,18,89.327137546468
"Berserker's Iron Spear of Air",2891.9,3000,6934,70,39,96.396666666667
"The Energizer",444885.25,2010665,2888885,79,6,22.126274143132
"Rodgort's Flame",69694.3,600000,787878,71,25,11.615716666667
"Expermentor's Collection Staff",6222.45,2273,9997,95,79,273.75494940607
"Charr Rifle",16739.3,13007,34998,1137,10,128.69454908895
"Charr Cleaver",18870.9,6707,30094,1362,18,281.36126435068
"Charr Greatsword",22140.8,20500,50168,4986,13,108.00390243902
"Poking Stick",19723,5775,30000,978,11,341.52380952381
"Reaver of the Mists",203999,900999,1300000,56,20,22.641423575387
"Phoenix Talon",68039.5,174251,285050,56,8,39.046834738395
"Kryta's Salvation",66827,205171,320000,26,15,32.571367298497
"Cooguloosh",37428,39070,90000,59,7,95.797286920911
"Godswalk Enchiridion",52137.8,330265,449888,50,8,15.786656170045
"Gaze",9110.75,41900,60015,28,25,21.744033412888
"Malice",32800.2,121279,181272,17,10,27.045242787292
"The Anomaly",143462.15,1100000,1462899,140,17,13.042013636364
"Accursed Chains",115717.15,181780,349999,76,7,63.657800638134
"Squeedily Spooch",106498,310000,490000,13,6,34.354193548387
"Goblet of Kings",15390.5,61065,89950,484,24,25.203471710472
"Eye of Rodgort",521457.25,2020266,2990265,47,8,25.811316430609
"Abyssal Scepter",202264.15,1837733,2399999,232,9,11.006177175901
"Wall of the Mists",277595.45,1150400,1679997,70,9,24.130341620306
"Melandru's Gaze",306369.3,263297,670198,22,7,116.35882672419
"Firebringer",135166,1215567,1589100,138,16,11.119584523107
"Jormag's Breath",113448,880200,1169000,68,18,12.888888888889
"Rusttooth",17923.15,62569,94699,78,21,28.645415461331
"Unspoken Curse",280839.15,555558,983999,22,19,50.550824576372
"Wintersbite",449429.15,1250398,1999799,127,15,35.942887784529
"Wintersbark",524498,2000000,2970000,389,6,26.2249
"Ilya",320331.05,1663000,2333333,66,9,19.262239927841
"Foefire's Power",450250.45,3800000,5000297,170,8,11.848696052632
"Flux Matrix",221640.5,250150,555050,33,7,88.603038177094
"Mystic Artifact",10468.55,70265,94983,50,12,14.898669323276
"Mystic Claymore",10710.3,75221,101098,268,14,14.238444051528
"Mystic Spear",22104.65,50219,85089,91,42,44.01650769629
"Mystic Wand",18096.15,66901,99999,37,16,27.049147247425
"Mystic Staff",22032.25,65112,102525,75,10,33.83746467625
"Mystic Crescent",15435.45,71498,102277,111,15,21.588645836247
"Mystic Hornbow",26137.5,63000,104870,70,13,41.488095238095
"Mystic Pistol",37507.5,80292,138590,105,18,46.713869376775
"Mystic Battlehammer",48099,62399,130000,53,9,77.082966073174
"Mystic Rifle",17991.05,67001,99993,99,43,26.85191265802
"Mystic Torch",10114.4,61202,83904,88,53,16.526257311853
"Mystic Trident",30236,54252,99400,60,16,55.732507557325
"Mirage",294851.85,1460397,2065001,99,11,20.189842214138
"Mystic Cudgel",13219.75,70567,98575,65,17,18.733614862471
"Jormag's Needle",87493,380005,550000,191,8,23.024170734596
"Tear of Grenth",91953.75,380266,555555,68,10,24.181428263374
"Mystic Spike",30902,71011,119900,101,30,43.517201560322
"Pact Battleaxe",9174.5,34267,51110,43,28,26.773572241515
"Pact Hornbow",29844.9,29308,69594,70,12,101.83192302443
"Pact Needler",21762,32636,64000,46,16,66.680965804633
"Pact Dirk",29088.8,31708,71528,64,22,91.739624069635
"Pact Focus",23419.9,30208,63094,58,20,77.528800317797
"Pact Avenger",5224.1,21707,31686,131,60,24.066430183812
"Pact Crusher",12845.45,31435,52097,52,33,40.863527914745
"Pact Harpoon Gun",10537.3,27284,44498,40,13,38.620803401261
"Pact Morning Star",15227.6,40000,64976,58,18,38.069
"Pact Handgun",21653,35006,66660,69,11,61.855110552477
"Pact Shotgun",96077.8,34215,153288,66,12,280.80607920503
"Pact Scepter",19854.15,35393,64999,56,6,56.096261972706
"Pact Tower Shield",11548.7,36323,56322,68,12,31.794455303802
"Pact Spear",19999,31509,60600,48,20,63.470754387635
"Pact Quarterstaff",20278.95,40143,71087,86,47,50.516777520365
"Pact Gladius",26698,32800,70000,76,36,81.396341463415
"Pact Brazier",36766.65,22603,69849,49,23,162.66269964164
"Pact Trident",22770.75,27713,59395,64,23,82.166311839209
"Pact Herald",27188.25,29679,66905,51,13,91.60770241585
"Carrion Legionnaire Axe of Intelligence",26671.75,15737,49895,30,12,169.48433627756
"Carrion Legionnaire Axe of Accuracy",27690,10558,45000,78,8,262.26558060239
"Carrion Legionnaire Dagger of Intelligence",13839.1,21252,41286,41,25,65.119047619048
"Carrion Legionnaire Dagger of Rage",17193.15,26239,51099,157,9,65.525172453218
"Carrion Legionnaire Symbol of Intelligence",9628.7,9258,22222,89,7,104.00410455822
"Carrion Legionnaire Symbol of Rage",6053.15,11284,20399,65,10,53.643654732364
"Carrion Legionnaire Greatsword of Intelligence",20971.15,30026,59999,119,27,69.843302471192
"Carrion Legionnaire Greatsword of Accuracy",8866,25387,40300,119,41,34.923385984953
"Carrion Legionnaire Greatsword of Rage",7975.6,28399,42796,377,51,28.084087467869
"Carrion Legionnaire Maul of Blood",54273.75,30720,99995,63,6,176.67236328125
"Carrion Legionnaire Maul of Intelligence",11120.3,10959,25978,31,29,101.47184962132
"Carrion Legionnaire Maul of Accuracy",8614.9,19088,32594,27,18,45.132544006706
"Carrion Legionnaire Spear of Blood",10335.5,9493,23330,56,14,108.87496049721
"Carrion Legionnaire Spear of Intelligence",4708.1,10510,17906,36,28,44.796384395814
"Carrion Legionnaire Spear of Accuracy",10730.55,17388,33083,42,6,61.712387853692
"Carrion Legionnaire Spear of Rage",16741.15,13006,34999,37,13,128.71866830694
"Carrion Legionnaire Longbow of Intelligence",10824.3,15862,31398,31,18,68.240448871517
"Carrion Legionnaire Longbow of Accuracy",15080.15,22317,43999,88,37,67.572478379711
"Carrion Legionnaire Longbow of Rage",11167.65,16803,32909,133,11,66.462238885913
"Legionnaire Mace",6432.45,13759,23757,54,12,46.750853986482
"Legionnaire Mace",11234.15,11373,26599,63,6,98.779126000176
"Legionnaire Sidearm",11190.15,12046,27339,13,11,92.895151917649
"Legionnaire Sidearm",16681.5,16679,39250,31,14,100.01498890821
"Legionnaire Sidearm",11018.8,15472,31168,56,29,71.217683557394
"Carrion Legionnaire Bayonet of Accuracy",21185.45,12385,39497,49,23,171.05732741219
"Carrion Legionnaire Bayonet of Rage",12108.45,13302,29897,63,10,91.027289129454
"Carrion Legionnaire Virge of Accuracy",18816,11357,35500,52,7,165.67755569252
"Carrion Legionnaire Virge of Rage",40928.1,13866,64466,86,10,295.16875811337
"Carrion Legionnaire Shield of Intelligence",6965.5,8919,18690,39,29,78.097320327391
"Carrion Legionnaire Shield of Accuracy",31781.3,13061,52758,60,6,243.32976035526
"Carrion Legionnaire Shield of Rage",21645,20003,49000,111,17,108.2087686847
"Carrion Legionnaire Short Bow of Intelligence",5501,13622,22500,20,12,40.383203641169
"Carrion Legionnaire Short Bow of Accuracy",9934.35,16508,31111,45,26,60.179004119215
"Carrion Legionnaire Short Bow of Rage",31733.45,14502,54397,132,19,218.82119707627
"Carrion Legionnaire Speargun of Blood",9250.95,11238,24107,17,7,82.318473037907
"Carrion Legionnaire Speargun of Intelligence",5425.45,9275,17297,48,24,58.495417789757
"Carrion Legionnaire Speargun of Rage",5847,11151,20000,58,12,52.43475921442
"Legionnaire Staff",15107.8,20070,41388,42,21,75.275535625311
"Legionnaire Staff",10558,18000,33600,118,16,58.655555555556
"Legionnaire Staff",14908.75,25902,48015,169,17,57.558296656629
"Carrion Legionnaire Sword of Intelligence",15674.3,20005,41978,35,19,78.351912021994
"Carrion Legionnaire Sword of Rage",11073.3,31168,49698,76,6,35.527784907598
"Legionnaire Firebrand",19585,12713,38000,20,16,154.05490442854
"Legionnaire Firebrand",7385.85,11500,22221,34,20,64.224782608696
"Legionnaire Firebrand",9466.3,11372,24518,58,13,83.242173760113
"Legionnaire Trident",34619,10004,52500,21,13,346.05157936825
"Legionnaire Trident",8909.15,8088,19999,43,7,110.15269535114
"Legionnaire Trident",5439,11559,20000,40,22,47.054243446665
"Carrion Legionnaire Horn of Accuracy",30445.25,11258,49065,28,7,270.43213714692
"Malign Steam Dagger",3634.65,4684,9789,378,76,77.597139197267
"Malign Steam Staff",2994.45,4991,9397,524,48,59.996994590262
"Malign Great Steamblade of Force",2754.65,4102,8069,141,31,67.153827401268
"Malign Steam Pistol of Force",2994.1,5526,10026,157,48,54.182048498009
"Malign Steam Scepter of Force",5069,1729,8000,47,23,293.17524580682
"Malign Steam Staff of Force",2428.75,6099,10035,151,45,39.822101983932
"Malign Steamblade of Force",4145.2,4261,9892,173,25,97.282328091997
"Ravaging Steam Dagger of Grawl Slaying",2205.8,1267,4088,207,117,174.09629044988
"Ravaging Steam Dagger of Smoldering",2077.15,1745,4499,116,61,119.03438395415
"Ravaging Flame Cleaver of Ogre Slaying",2524.85,1129,4301,79,40,223.63596102746
"Ravaging Flame Cleaver of Earth",2378.75,1593,4675,78,50,149.32517263026
"Ravaging Flame Dagger of Battle",5328.2,6053,13392,69,11,88.025772344292
"Ravaging Flame Dagger of Ogre Slaying",2582.3,2565,6058,64,55,100.67446393762
"Ravaging Flame Greatsword of Battle",16405,17593,40000,150,10,93.247314272722
"Ravaging Flame Greatsword of Ogre Slaying",15290,5108,24000,105,7,299.33437744714
"Ravaging Flame Greatsword of Earth",3488.05,8013,13533,91,60,43.529888930488
"Ravaging Flame Bow of Battle",4229,2569,8000,189,23,164.61658232775
"Ravaging Flame Bow of Earth",3163.15,1934,5999,181,39,163.55480868666
"Ravaging Flame Pistol of Earth",2559.75,1242,4475,91,20,206.09903381643
"Ravaging Flame Guard of Battle",2455.25,1423,4565,65,34,172.5404075896
"Ravaging Flame Staff of Earth",4902.85,3137,9461,58,51,156.29104239719
"Ravaging Flame Blade of Battle",7568,7713,17980,114,26,98.120057046545
"Ravaging Flame Blade of Ogre Slaying",5964.1,1655,8966,89,19,360.36858006042
"Ravaging Flame Blade of Earth",3865.25,5045,10485,70,33,76.615460852329
"Carrion Flame Cleaver of Water",3038,785,4500,156,33,387.00636942675
"Carrion Flame Cleaver of Corruption",2732.15,1005,4399,82,29,271.85572139303
"Carrion Flame Cleaver of Air",2727.3,2743,6438,321,25,99.427633977397
"Carrion Flame Dagger of Water",2833,4900,9100,80,46,57.816326530612
"Carrion Flame Dagger of Corruption",2388.95,2698,5987,129,31,88.545218680504
"Carrion Flame Greatsword of Water",15422.05,11345,31493,218,6,135.93697664169
"Carrion Flame Greatsword of Corruption",7695.8,5110,15068,71,20,150.60273972603
"Carrion Flame Greatsword of Energy",3463.15,4762,9679,72,60,72.72469550609
"Carrion Flame Bow of Water",2112.1,1733,4526,70,31,121.87536064628
"Carrion Flame Bow of Corruption",3365.45,880,4997,104,20,382.4375
"Carrion Flame Mace of Corruption",2174.15,713,3399,198,29,304.92987377279
"Carrion Flame Pistol of Corruption",2150.15,958,3659,80,34,224.44154488518
"Carrion Flame Scepter of Water",2887.6,762,4296,102,35,378.9501312336
"Carrion Flame Scepter of Corruption",2563.55,854,4023,113,23,300.18149882904
"Carrion Flame Guard of Corruption",2026.2,787,3312,133,26,257.45870393901
"Carrion Flame Staff of Water",4282.65,2693,8209,258,28,159.02896398069
"Carrion Flame Staff of Corruption",3277.95,2540,6847,182,26,129.0531496063
"Carrion Flame Blade of Water",4756.75,3312,9495,177,18,143.62167874396
"Carrion Flame Blade of Energy",2314.45,3121,6397,99,97,74.157321371355
"Carrion Flame Warhorn of Corruption",2171.55,804,3503,122,15,270.09328358209
"Penetrating Aureate Dirk of Battle",2882.3,3064,6998,91,42,94.069843342037
"Penetrating Aureate Dirk of Ogre Slaying",4670,1703,7500,72,37,274.22196124486
"Penetrating Aureate Dirk of Earth",4253.9,1757,7074,117,10,242.11155378486
"Penetrating Aureate Highlander Greatsword of Battle",2646.1,4140,7986,122,57,63.915458937198
"Penetrating Aureate Highlander Greatsword of Ogre Slaying",4062.9,3512,8914,519,45,115.68621867882
"Penetrating Aureate Highlander Greatsword of Earth",3000.45,3421,7557,98,74,87.706810874013
"Penetrating Aureate Staff of Battle",3921.9,1766,6694,224,21,222.07814269536
"Penetrating Aureate Staff of Earth",5615.3,1606,8498,41,9,349.64508094645
"Penetrating Aureate Rinblade of Ogre Slaying",2404,1028,4040,398,112,233.85214007782
"Penetrating Aureate Rinblade of Earth",2775.4,1000,4444,218,32,277.54
"Carrion Tribal Axe of Intelligence",8887.15,10150,22399,21,14,87.558128078818
"Carrion Tribal Axe of Accuracy",8836.3,19057,32818,26,12,46.367738888597
"Carrion Tribal Axe of Rage",6191.35,15797,25871,86,41,39.193201240742
"Carrion Tribal Dagger of Accuracy",22795.3,18086,48098,57,17,126.03837222161
"Carrion Tribal Focus of Blood",15757,19091,41000,26,7,82.536273636792
"Carrion Tribal Focus of Accuracy",18888.65,14760,39589,43,11,127.97188346883
"Carrion Tribal Focus of Rage",6187.35,11024,20251,53,21,56.126179245283
"Carrion Tribal Greatsword of Blood",23567.15,95430,139999,356,9,24.695745572671
"Carrion Tribal Greatsword of Intelligence",13541,20457,40000,61,23,66.192501344283
"Carrion Tribal Greatsword of Accuracy",14024.1,21492,41786,100,45,65.252652149637
"Carrion Tribal Greatsword of Rage",3267.5,30807,40090,307,74,10.60635569838
"Carrion Tribal Warhammer of Blood",20462,22036,50000,42,11,92.857142857143
"Carrion Tribal Warhammer of Intelligence",22646.5,7161,35070,35,21,316.24773076386
"Carrion Tribal Warhammer of Accuracy",13547.9,14087,32514,35,11,96.173067367076
"Carrion Tribal Warhammer of Rage",9958.45,17815,32677,74,69,55.899242211619
"Carrion Tribal Spear of Blood",10265.15,7582,20999,42,11,135.38841994197
"Carrion Tribal Spear of Accuracy",19944.3,9887,35098,46,18,201.72246384141
"Carrion Tribal Spear of Rage",7423.1,11603,22386,51,10,63.975695940705
"Carrion Tribal Bow of Accuracy",9432.15,17000,31099,41,26,55.483235294118
"Carrion Tribal Bow of Rage",12628.2,16280,34012,64,9,77.568796068796
"Carrion Tribal Mace of Blood",10727,10521,25000,26,16,101.95798878434
"Carrion Tribal Mace of Intelligence",8364.25,9488,21005,17,16,88.156091905565
"Carrion Tribal Mace of Accuracy",45093.8,13459,68888,36,6,335.04569433093
"Carrion Tribal Mace of Rage",5000,11998,20000,52,38,41.673612268711
"Carrion Tribal Pistol of Blood",32568.15,40019,85399,63,8,81.381718683625
"Carrion Tribal Pistol of Intelligence",6829.3,10303,20158,38,19,66.28457730758
"Carrion Tribal Pistol of Accuracy",22680.45,12165,40997,41,14,186.4401972873
"Carrion Tribal Rifle of Intelligence",8217.9,8010,19094,38,21,102.59550561798
"Carrion Tribal Rifle of Accuracy",18157.95,12089,35587,36,16,150.20224997932
"Carrion Tribal Rifle of Rage",4655,12513,20200,53,35,37.201310636938
"Carrion Tribal Scepter of Intelligence",9373.7,8969,21582,30,22,104.51220871892
"Carrion Tribal Scepter of Accuracy",22473.75,11265,39695,42,19,199.50066577896
"Carrion Tribal Scepter of Rage",12464.6,13710,30796,61,17,90.916119620715
"Carrion Tribal Shield of Accuracy",45438.15,14059,69999,45,12,323.19617326979
"Carrion Tribal Shield of Rage",6183.8,11297,20568,97,25,54.738426130831
"Carrion Tribal Short Bow of Blood",53266.85,30389,98421,116,10,175.28332620356
"Carrion Tribal Short Bow of Intelligence",9202.6,9475,21976,29,15,97.125065963061
"Carrion Tribal Short Bow of Accuracy",13838.8,12601,31108,55,7,109.82302991826
"Carrion Tribal Short Bow of Rage",9395.15,21202,35999,90,21,44.312564852372
"Carrion Tribal Speargun of Intelligence",12702,8461,24900,45,7,150.12409880629
"Carrion Tribal Speargun of Rage",7170.7,11716,22222,51,8,61.204335950836
"Carrion Tribal Staff of Blood",127416.3,59393,219778,235,10,214.53083696732
"Carrion Tribal Staff of Intelligence",9791.15,17661,32299,34,12,55.439386218221
"Carrion Tribal Staff of Rage",23767.15,26210,58799,151,30,90.679702403663
"Carrion Tribal Sword of Intelligence",22448.65,11540,39989,28,13,194.52902946274
"Carrion Tribal Sword of Rage",11179.45,31299,49977,94,7,35.718233809387
"Carrion Tribal Torch of Blood",17582.25,15009,38345,23,12,117.1447131721
